iso3c,year,life_expect,birth_rate,neonat_mortal_rate
ARM,2000,71.2765853658537,13.203,15.9
ARM,2001,71.7558292682927,13.306,15.1
ARM,2005,73.2873902439024,14.097,12.4
ARM,1991,67.7382926829268,20.652,22.5
ARM,2004,72.973756097561,13.949,13
ARM,2002,72.2016097560976,13.511,14.4
ARM,1994,68.3766585365854,17.123,20.5
ARM,1990,67.7478048780488,21.6,23
ARM,2014,74.6757073170732,13.157,7.7
ARM,1999,70.7670975609756,13.286,16.7
ARM,2013,74.5613658536585,13.308,8.2
ARM,2003,72.6095853658537,13.741,13.7
ARM,1992,67.8533414634147,19.546,21.9
ARM,1993,68.0695609756098,18.348,21.2
ARM,2010,74.2263414634146,13.83,9.5
ARM,2008,73.945,14.101,10.6
ARM,1995,68.7635609756098,15.962,19.8
ARM,2011,74.3428292682927,13.652,9.1
ARM,2015,NA,NA,7.4
ARM,1997,69.7164146341464,14.16,18.3
ARM,2007,73.7646585365854,14.161,11.1
ARM,2009,74.0958292682927,13.986,10
ARM,2006,73.5482682926829,14.164,11.8
ARM,2012,74.4520975609756,13.474,8.6
ARM,1998,70.2402195121951,13.6,17.5
ARM,1996,69.2168536585366,14.957,19.1
AGO,1993,41.4781951219512,52.357,59.4
AGO,1991,41.2063414634146,52.585,59.2
AGO,1994,41.716243902439,52.227,59.3
AGO,2007,49.4357317073171,48.888,55
AGO,2003,47.3931707317073,50.182,57.2
AGO,1992,41.3130243902439,52.475,59.4
AGO,2004,48.003512195122,49.895,56.7
AGO,1995,42.0514634146341,52.081,59.4
AGO,1990,41.1383414634146,52.688,59.1
AGO,2005,48.5388048780488,49.592,56.1
AGO,2006,49.0070487804878,49.259,55.5
AGO,2012,51.464,46.499,51.1
AGO,1997,43.0621219512195,51.723,59.4
AGO,2001,45.9731463414634,50.739,58.2
AGO,2008,49.8473902439024,48.473,54.1
AGO,2015,NA,NA,48.7
AGO,1996,42.5016341463415,51.914,59.5
AGO,2013,51.8661707317073,45.985,50.4
AGO,2000,45.204780487804904,51.009,58.4
AGO,2011,51.0593170731707,47.018,51.9
AGO,1999,44.439,51.268,58.7
AGO,2014,52.2668780487805,45.483,49.6
AGO,2009,50.2510243902439,48.018,53.4
AGO,2002,46.7117317073171,50.463,57.5
AGO,1998,43.7142682926829,51.508,58.9
AGO,2010,50.6541707317073,47.529,52.6
ARG,2012,75.816243902439,17.874,7
ARG,2009,75.3245609756098,18.283,7.8
ARG,1993,72.2156585365854,21.097,14.4
ARG,1994,72.4413902439024,20.804,14
ARG,2010,75.4849756097561,18.153,7.5
ARG,2011,75.6490487804878,18.018,7.2
ARG,1992,71.9889512195122,21.366,14.7
ARG,2005,74.6878048780488,18.833,9.2
ARG,2007,75.0090487804878,18.55,8.5
ARG,2008,75.1662682926829,18.414,8.1
ARG,1996,72.8873414634146,20.21,12.6
ARG,1995,72.6651219512195,20.501,13.3
ARG,1998,73.3276829268293,19.727,11.5
ARG,1991,71.7632926829268,21.603,15
ARG,2006,74.8499024390244,18.691,8.8
ARG,2000,73.7558048780488,19.413,11.3
ARG,2003,74.3412682926829,19.089,10
ARG,2013,75.9860975609756,17.716,6.8
ARG,1990,71.5436585365854,21.804,15.4
ARG,2004,74.5187804878049,18.968,9.5
ARG,2002,74.1557804878049,19.199,10.6
ARG,2015,NA,NA,6.3
ARG,2001,73.9603170731707,19.302,11.1
ARG,1997,73.1080487804878,19.948,12
ARG,1999,73.5442682926829,19.551,11.3
ARG,2014,76.1586097560976,17.544,6.5
ASM,1997,NA,NA,NA
ASM,1998,NA,NA,NA
ASM,2015,NA,NA,NA
ASM,2007,NA,NA,NA
ASM,2008,NA,NA,NA
ASM,1996,NA,NA,NA
ASM,1993,NA,NA,NA
ASM,2006,NA,21.6,NA
ASM,2013,NA,NA,NA
ASM,1994,NA,NA,NA
ASM,1999,NA,NA,NA
ASM,2005,NA,NA,NA
ASM,2010,NA,18.7,NA
ASM,2009,NA,NA,NA
ASM,1992,NA,NA,NA
ASM,2004,NA,NA,NA
ASM,2012,NA,NA,NA
ASM,1991,NA,NA,NA
ASM,2002,NA,NA,NA
ASM,2000,NA,NA,NA
ASM,2014,NA,NA,NA
ASM,2003,NA,NA,NA
ASM,1995,NA,NA,NA
ASM,1990,NA,NA,NA
ASM,2001,NA,NA,NA
ASM,2011,NA,NA,NA
AUT,1992,75.8170731707317,12.2,4.2
AUT,1990,75.5682926829269,11.8,4.6
AUT,2004,79.1804878048781,9.7,2.9
AUT,1991,75.6170731707317,12.2,4.4
AUT,2003,78.6317073170732,9.5,3
AUT,2007,80.1804878048781,9.2,2.7
AUT,1993,76.0682926829268,12,4
AUT,1994,76.419512195122,11.6,3.7
AUT,2002,78.6780487804878,9.7,3
AUT,2005,79.3317073170732,9.5,2.8
AUT,2010,80.5804878048781,9.4,2.5
AUT,2011,80.9829268292683,9.3,2.4
AUT,2006,79.8804878048781,9.4,2.8
AUT,2014,81.3365853658537,9.6,2.2
